Country,years,TotalArrivals,overnightStay,SameDay
Colombia,2008,2545000,2317000,228000
Colombia,2009,2649000,2364000,285000
Colombia,2010,1701000,1405000,296000
Colombia,2011,2356000,2043000,313000
Colombia,2012,2434000,2180000,254000
Colombia,2013,2595000,2288000,307000
Colombia,2014,2866000,2552000,314000
Colombia,2015,3371000,3099000,272000
Colombia,2016,3675000,3370000,306000
Colombia,2017,4056000,3712000,345000
Colombia,2018,4398000,4020000,378000
Colombia,2019,4529000,4167000,362000
Costa Rica,1995,924000,785000,139000
Costa Rica,1996,940000,781000,159000
Costa Rica,1997,1013000,811000,201000
Costa Rica,1998,1167000,943000,224000
Costa Rica,1999,1267000,1032000,235000
Costa Rica,2000,1278000,1088000,190000
Costa Rica,2001,1320000,1131000,189000
Costa Rica,2002,1335000,1113000,222000
Costa Rica,2003,1514000,1239000,275000
Costa Rica,2004,1771000,1453000,318000
Costa Rica,2005,1959000,1679000,280000
Costa Rica,2006,2071000,1725000,346000
Costa Rica,2007,2302000,1980000,322000
Costa Rica,2008,2409000,2089000,320000
Costa Rica,2009,2309000,1923000,386000
Costa Rica,2010,2495000,2100000,395000
Costa Rica,2011,2526000,2192000,334000
Costa Rica,2012,2542000,2343000,199000
Costa Rica,2013,2641000,2428000,213000
Costa Rica,2014,2760000,2527000,233000
Costa Rica,2015,2899000,2660000,239000
Costa Rica,2016,3204000,2925000,279000
Costa Rica,2017,3231000,2960000,271000
Costa Rica,2018,3313000,3017000,296000
Costa Rica,2019,3366000,3139000,227000
