hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
8990DC,B-16713,TW,22.03,116.79,11887,93,951,0.0,386,EVA386,BR386,VVNB,HAN,RCTP,TPE,EVA,BR,B77W,1647955710,en-route
75869F,RP-C4125,PH,19.74,116.95,11277,142,872,0.0,113,CEB113,5J113,VHHH,HKG,RPLL,MNL,CEB,5J,A21N,1647955710,en-route
780FDE,B-7892,CN,35.74,117.14,11003,355,759,0.0,1888,CCA1888,CA1888,ZSJD,JDZ,ZBAA,PEK,CCA,CA,B738,1647955710,en-route
71BF02,HL7702,KR,18.57,117.32,12184,224,866,0.0,689,KAL689,KE689,RKSI,ICN,VDPP,PNH,KAL,KE,A333,1647955710,en-route
71C025,HL8025,KR,18.61,117.36,11887,224,864,0.0,683,KAL683,KE683,RKSI,ICN,VVTS,SGN,KAL,KE,A333,1647955710,en-route
78111A,B-7885,CN,28.31,117.4,9479,170,816,0.0,8412,CDG8412,SC8412,ZSJN,TNA,ZSAM,XMN,CDG,SC,B738,1647955710,en-route
780F41,B-8397,CN,27.94,117.42,9182,221,727,0.0,5317,CES5317,MU5317,ZSSS,SHA,ZGGG,CAN,CES,MU,A321,1647955710,en-route
ABC948,N859FD,US,22.01,117.53,10058,65,974,0.0,5230,FDX5230,FX5230,ZGSZ,SZX,RJBB,KIX,FDX,FX,B77L,1647955710,en-route
7BD01F,B-2856,CN,35.1,117.61,8412,330,677,0.0,1084,CAO1084,CA1084,ZSNJ,NKG,ZBAA,PEK,CAO,CA,B752,1647955710,en-route
89912E,B-18910,TW,21.54,117.71,12496,28,892,0.0,784,CAL784,CI784,VVTS,SGN,RCTP,TPE,CAL,CI,A359,1647955710,en-route
7800B2,B-2418,CN,28.27,117.9,10698,45,938,0.0,3608,CSN3608,CZ3608,ZGGG,CAN,ZYTL,DLC,CSN,CZ,A321,1647955710,en-route
7BB138,B-5216,CN,24.48,117.94,998,151,294,-2.3,8282,CXA8282,MF8282,ZUWX,WXN,ZSAM,XMN,CXA,MF,B737,1647955710,en-route
780F65,B-8429,CN,31.68,117.95,8107,94,959,0.0,1750,CCA1750,CA1750,ZUGY,KWE,ZSHC,HGH,CCA,CA,A320,1647955710,en-route
89630B,A6-ENI,AE,18.87,117.97,11277,132,933,0.0,334,UAE334,EK334,OMDB,DXB,RPLL,MNL,UAE,EK,B77W,1647955710,en-route
7810B9,B-8743,CN,29.52,118.0,7429,45,881,-10.4,1780,CCA1780,CA1780,ZUUU,CTU,ZSHC,HGH,CCA,CA,A320,1647955710,en-route
78110E,B-7836,CN,24.51,118.07,274,52,222,-3.6,8676,CXA8676,MF8676,YMML,MEL,ZSAM,XMN,CXA,MF,B789,1647955710,en-route
78192F,B-30EU,CN,31.63,118.2,10081,94,1026,0.0,8996,CQH8996,9C8996,ZUCK,CKG,ZSSS,SHA,CQH,9C,A21N,1647955710,en-route
